time_step,vehicle_id,position_x,position_y,speed,acceleration,road_id,lane_id,distance,fuel_consumption,co2_emission,leader
0,veh0,2599.223449484165,3210.5705075903393,0.0,0.0,173228856,173228856_1,0.0,837.2222222222222,2624.722222222222,"(None, -1)"
1,veh0,2599.954537909427,3209.3953447344657,1.3843032849719747,1.3843032849719747,173228856,173228856_1,1.384303284971975,944.0443242962032,2959.6661737714126,"(None, -1)"
2,veh0,2601.573558126661,3206.792906566305,3.065586771327071,1.681283486355096,173228856,173228856_1,4.449890056299045,1162.3799391535108,3644.242631402771,"(None, -1)"
3,veh0,2604.1009781164207,3202.7302925369636,4.7856260247528555,1.7200392534257847,173228856,173228856_1,9.2355160810519,1380.849905718931,4329.238087555717,"(None, -1)"
4,veh0,2607.6098189326644,3197.0598000075724,6.669720943877474,1.8840949191246184,173228856,173228856_1,15.905237024929372,1717.3113057309856,5384.172873456919,"(None, -1)"
5,veh0,2611.8532814676864,3190.171407451643,8.092229654360562,1.422508710483088,173228856,173228856_1,23.997466679289936,1623.2929031081212,5089.4098861420425,"(None, -1)"
6,veh0,2617.195646866092,3181.499171102739,10.187823586189188,2.095593931828626,173228856,173228856_1,34.18529026547912,2450.4196727186404,7682.731106708257,"(None, -1)"
7,veh0,2623.8506300306294,3170.6961685754172,12.69096914816182,2.503145561972632,173228856,173228856_1,46.87625941364094,3356.3368105296468,10523.082888742358,"(None, -1)"
8,veh0,2631.3957813617544,3158.4481602959204,14.38850863992702,1.6975394917652,173228856,173228856_1,61.264768053567956,2790.748388646682,8749.791697947829,"(None, -1)"
8,veh2,737.5488076236538,80.56526210964205,20.971005,0.0,228470926,228470926_1,0.0,1070.4235205833793,3356.0312715459186,"(None, -1)"
9,veh0,2639.5363132398943,3145.4903199144646,15.306055478203113,0.9175468382760936,173228856,173228856_1,76.57082353177108,1957.9254512022826,6138.63151079939,"(None, -1)"
9,veh2,747.4100154655658,98.96802434426601,20.878446041059792,-0.09255895894020938,228470926,228470926_1,20.87844604105979,903.8906741445269,2833.898490166004,"(None, -1)"
